Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
158,90137,Blood Bowl: Team Manager â€“ The Card Game,7.226,5943,2011,90,2,4,,Card Game,Area Control / Area Influence,2,12,4,4: Unplayable
159,8217,San Juan,7.225,15945,2004,60,2,4,,Card Game,Hand Management,2,10,3,3: Too much
160,70919,Takenoko,7.224,9041,2011,45,2,4,,,Action Point Allowance System,0,8,3,1: Need crib
161,116998,Thunderstone Advance: Towers of Ruin,7.224,3117,2012,45,1,5,,Card Game,Card Drafting,5,12,3,4: Unplayable
162,3685,Hammer of the Scots,7.223,3112,2002,150,2,2,,Wargame,Area Movement,0,12,2,2: Possible
163,712,Blood Bowl (Third Edition),7.222,3770,1994,180,2,2,,Fantasy,Dice Rolling,1,12,2,2: Possible
164,96913,Lancaster,7.221,3438,2011,60,2,5,,,Area Control / Area Influence,3,12,4,1: Need crib
165,65781,London,7.221,4728,2010,90,2,4,Martin Wallace,Economic,Card Drafting,0,12,3,3: Too much
166,5404,Amun-Re,7.219,6590,2003,90,3,5,Reiner Knizia,Economic,Area Control / Area Influence,0,10,5,1: Need crib
167,97786,Small World Underground,7.213,4863,2011,60,2,5,,Fantasy,Area Control / Area Influence,11,8,4,3: Too much
168,875,Roads & Boats,7.21,2005,1999,240,1,4,,Economic,Modular Board,2,12,2,1: Need crib
169,66188,Fresco,7.206,6540,2010,60,2,4,,,Action / Movement Programming,4,10,4,1: Need crib
170,3307,Wallenstein (first edition),7.205,3111,2002,150,3,5,,Economic,Action / Movement Programming,0,12,5,2: Possible
171,21241,Neuroshima Hex!,7.204,6840,2006,30,2,4,,Fighting,Hand Management,20,10,2,1: Need crib
172,2653,Survive: Escape from Atlantis!,7.2,8887,1982,60,2,4,,,Action Point Allowance System,3,8,4,1: Need crib
173,24480,The Pillars of the Earth,7.199,10932,2006,120,2,4,,Economic,Worker Placement,2,12,4,3: Too much
174,18098,Napoleon's Triumph,7.198,1370,2007,180,2,2,,Wargame,Area Movement,0,14,2,1: Need crib
175,118,Modern Art,7.196,10142,1992,45,3,5,Reiner Knizia,Card Game,Auction/Bidding,0,10,5,1: Need crib
176,9625,Struggle of Empires,7.195,3132,2004,180,2,7,Martin Wallace,Fighting,Area Control / Area Influence,0,12,5,2: Possible
177,58421,Egizia,7.193,3659,2009,75,2,4,,,Card Drafting,0,10,4,3: Too much
178,475,Taj Mahal,7.184,5670,2000,90,3,5,Reiner Knizia,,Auction/Bidding,0,12,4,1: Need crib
179,118048,Targi,7.179,2604,2012,60,2,2,,Card Game,Modular Board,0,10,2,3: Too much
180,6472,A Game of Thrones (first edition),7.177,8670,2003,180,3,5,,Fantasy,Area Movement,2,14,5,2: Possible
181,28181,Combat Commander: Pacific,7.175,1087,2008,180,2,2,,Wargame,Campaign / Battle Card Driven,1,12,2,4: Unplayable
182,586,Up Front,7.174,1667,1983,60,2,3,,Card Game,Campaign / Battle Card Driven,25,12,2,3: Too much
183,24800,Conflict of Heroes: Awakening the Bear! â€“ Russia 1941-42,7.172,2623,2008,120,1,4,,Wargame,Action Point Allowance System,4,10,2,2: Possible
184,39351,Automobile,7.17,4152,2009,120,3,5,Martin Wallace,Economic,Commodity Speculation,1,12,5,1: Need crib
185,39683,At the Gates of Loyang,7.168,5526,2009,120,1,4,Uwe Rosenberg,Economic,Card Drafting,0,12,2,3: Too much
186,148575,Marvel Dice Masters: Avengers vs. X-Men,7.165,2500,2014,15,2,2,,Dice,Deck / Pool Building,0,10,2,3: Too much
187,42052,Vinhos,7.163,2742,2010,135,2,4,,Economic,Area Control / Area Influence,1,12,4,1: Need crib
188,46213,Telestrations,7.162,3348,2009,30,4,8,(Uncredited),Party Game,,0,10,8,4: Unplayable
189,11170,Heroscape Master Set: Rise of the Valkyrie,7.159,6191,2004,90,2,4,,Fantasy,Dice Rolling,28,8,2,3: Too much
190,66362,Glen More,7.157,5474,2010,60,2,5,,Economic,Commodity Speculation,0,12,4,2: Possible
191,128671,Spartacus: A Game of Blood & Treachery,7.156,2941,2012,150,3,4,,Fighting,Auction/Bidding,9,14,4,3: Too much
